CityCde|CountyStateCde|CityNameTxt
"0002"|"55"|"Actor Hill"
"0004"|"57"|"Adair"
"0005"|"74"|"Adams"
"0010"|"55"|"Adamsville"
"0015"|"41"|"Aetna"
"0017"|"30"|"Afton"
"0020"|"17"|"Alamo"
"0030"|"05"|"Alcoa"
"0040"|"21"|"Alexandria"
"0050"|"71"|"Algood"
"0056"|"25"|"Allardt"
"0060"|"67"|"Allons"
"0062"|"67"|"Allred"
"0064"|"67"|"Alpine"
"0070"|"31"|"Altamont"
"0074"|"01"|"Andersonville"
"0075"|"19"|"Antioch"
"0078"|"33"|"Apison"
"0080"|"28"|"Ardmore"
"0080"|"52"|"Ardmore"
"0090"|"79"|"Arlington"
"0092"|"16"|"Arnold AFB"
"0094"|"94"|"Arrington"
"0095"|"13"|"Arthur"
"0100"|"11"|"Ashland City"
"0110"|"54"|"Athens"
"0120"|"84"|"Atoka"
"0124"|"09"|"Atwood"
"0130"|"08"|"Auburntown"
"0140"|"30"|"Baileyton"
"0145"|"33"|"Bakewell"
"0147"|"45"|"Baneberry"
"0150"|"86"|"Banner Hill"
"0160"|"79"|"Bartlett"
"0162"|"20"|"Bath Springs"
"0170"|"71"|"Baxter"
"0173"|"29"|"Bean Station"
"0175"|"57"|"Beech Bluff"
"0177"|"16"|"Beech Grove"
"0178"|"31"|"Beersheba Springs"
"0179"|"59"|"Belfast"
"0180"|"02"|"Bell Buckle"
"0190"|"19"|"Belle Meade"
"0195"|"19"|"Bellevue"
"0200"|"17"|"Bells"
"0205"|"26"|"Belvidere"
"0210"|"57"|"Bemis"
"0215"|"70"|"Benton"
"0220"|"19"|"Berry Hill"
"0230"|"55"|"Bethel Springs"
"0235"|"83"|"Bethpage"
"0238"|"81"|"Big Rock"
"0240"|"03"|"Big Sandy"
"0241"|"33"|"Birchwood"
"0242"|"29"|"Blaine"
"0243"|"73"|"Blair"
"0244"|"71"|"Bloomington Springs"
"0245"|"82"|"Blountville"
"0250"|"82"|"Bluff City"
"0255"|"23"|"Bogata"
"0257"|"43"|"Bold Springs"
"0260"|"35"|"Bolivar"
"0265"|"41"|"Bon Aqua"
"0269"|"24"|"Braden"
"0270"|"27"|"Bradford"
"0271"|"08"|"Bradyville"
"0272"|"94"|"Brentwood"
"0275"|"01"|"Briceville"
"0280"|"84"|"Brighton"
"0290"|"82"|"Bristol"
"0300"|"38"|"Brownsville"
"0310"|"09"|"Bruceton"
"0311"|"79"|"Brunswick"
"0308"|"80"|"Brush Creek"
"0312"|"40"|"Buchanan"
"0313"|"09"|"Buena Vista"
"0309"|"71"|"Buffalo Valley"
"0315"|"37"|"Bulls Gap"
"0314"|"81"|"Bumpus Mills"
"0316"|"84"|"Burlison"
"0317"|"22"|"Burns"
"0318"|"46"|"Butler"
"0319"|"15"|"Bybee"
"0321"|"89"|"Bybee"
"0320"|"69"|"Byrdstown"
"0322"|"27"|"Cades"
"0327"|"54"|"Calhoun"
"0330"|"03"|"Camden"
"0331"|"37"|"Camelot"
"0334"|"89"|"Campaign"
"0335"|"79"|"Capleville"
"0340"|"80"|"Carthage"
"0350"|"07"|"Caryville"
"0352"|"83"|"Castalian Springs"
"0355"|"09"|"Cedar Grove"
"0356"|"74"|"Cedar Hill"
"0360"|"14"|"Celina"
"0365"|"89"|"Centertown"
"0370"|"41"|"Centerville"
"0384"|"11"|"Champmansboro"
"0380"|"59"|"Chapel Hill"
"0387"|"06"|"Charleston"
"0390"|"22"|"Charlotte"
"0400"|"33"|"Chattanooga"
"0402"|"80"|"Chestnut Mound"
"0401"|"55"|"Chewalla"
"0404"|"75"|"Christiana"
"0403"|"30"|"Chuckey"
"0405"|"37"|"Church Hill"
"0407"|"13"|"Clairfield"
"0408"|"25"|"Clarkrange"
"0409"|"09"|"Clarksburg"
"0410"|"63"|"Clarksville"
"0415"|"01"|"Claxton"
"0420"|"06"|"Cleveland"
"0430"|"91"|"Clifton"
"0440"|"01"|"Clinton"
"0441"|"65"|"Coalfield"
"0442"|"31"|"Coalmont"
"0443"|"62"|"Coker Creek"
"0444"|"22"|"Colesburg"
"0449"|"94"|"College Grove"
"0448"|"33"|"Collegedale"
"0450"|"79"|"Collierville"
"0460"|"91"|"Collinwood"
"0470"|"60"|"Columbia"
"0472"|"40"|"Como"
"0476"|"70"|"Conasauga"
"0473"|"47"|"Concord"
"0475"|"75"|"Concord"
"0480"|"71"|"Cookeville"
"0499"|"74"|"Coopertown"
"0490"|"70"|"Copperhill"
"0498"|"79"|"Cordova"
"0500"|"59"|"Cornersville"
"0504"|"47"|"Corryton"
"0507"|"15"|"Cosby"
"0510"|"40"|"Cottage Grove"
"0513"|"83"|"Cottontown"
"0517"|"36"|"Counce"
"0520"|"84"|"Covington"
"0530"|"26"|"Cowan"
"0533"|"18"|"Crab Orchard"
"0534"|"67"|"Crawford"
